Election Year,totalvotes,Home state,Name,Birth Year,Incumbent,Party,candidatevotes,Winner,Age,Age approx,% of the votes
2016,2087444,Alabama,Richard C. Shelby,1934,TRUE,republican,1335104,TRUE,,,0.639587936
2016,2087444,Alabama,Ron Crumpton,1968,FALSE,democrat,748709,FALSE,,,0.358672616
2016,311441,Alaska,Lisa Murkowski,1957,TRUE,republican,138149,TRUE,,,0.443580004
2016,311441,Alaska,Joe Miller,1967,FALSE,libertarian,90825,FALSE,,,0.29162827
2016,2530730,Arizona,John McCain,1936,TRUE,republican,1359267,TRUE,,,0.537104709
2016,2530730,Arizona,Ann Kirkpatrick,1950,FALSE,democrat,1031245,FALSE,,,0.407489143
2016,1107522,Arkansas,John Boozman,1950,TRUE,republican,661984,TRUE,,,0.597716343
2016,1107522,Arkansas,Conner Eldridge,1977,FALSE,democrat,400602,FALSE,,,0.361710196
2016,12244170,California,Kamala D. Harris,1964,NA,democrat,7542753,TRUE,,,0.616028118
2016,12244170,California,Loretta Sanchez,1960,NA,democrat,4701417,FALSE,,,0.383971882
2016,2743023,Colorado,Michael F. Bennet,1964,TRUE,democrat,1370710,TRUE,,,0.499707804
2016,2743023,Colorado,Darryl Glenn,1965,FALSE,republican,1215318,FALSE,,,0.443057896
2016,1596276,Connecticut,Richard Blumenthal,1946,TRUE,democrat,"1,008,714",TRUE,,,0.631917037
2016,1596276,Connecticut,Dan Carter,1967,FALSE,republican,552621,FALSE,,,0.346193891
2016,9301820,Florida,Marco Rubio,1971,TRUE,republican,4835191,TRUE,,,0.519811284
2016,9301820,Florida,Patrick Murphy,1983,FALSE,democrat,4122088,FALSE,,,0.443148545
2016,3898605,Georgia,Johnny Isakson,1944,TRUE,republican,2135806,TRUE,,,0.547838522
2016,3898605,Georgia,Jim Barksdale,1953,FALSE,democrat,1599726,FALSE,,,0.410332927
2016,437664,Hawaii,Brian Schatz,1972,TRUE,democrat,306604,TRUE,,,0.700546538
2016,437664,Hawaii,John Carroll,1929,FALSE,republican,92653,FALSE,,,0.211698929
2016,678943,Idaho,Mike Crapo,1951,TRUE,republican,449017,TRUE,,,0.661347123
2016,678943,Idaho,Jerry Sturgill,,FALSE,democrat,188249,FALSE,,,0.277267753
2016,5491878,Illinois,Tammy Duckworth,1968,FALSE,democrat,3012940,TRUE,,,0.548617431
2016,5491878,Illinois,Mark Kirk,1959,TRUE,republican,2184692,FALSE,,,0.397804176
2016,2732546,Indiana,Todd C. Young,1972,NA,republican,1423991,TRUE,,,0.521122426
2016,2732546,Indiana,Evan Bayh,1955,NA,democrat,1158947,FALSE,,,0.424127169
2016,1541036,Iowa,Chuck Grassley,1933,TRUE,republican,926007,TRUE,,,0.600899006
2016,1541036,Iowa,Patty Judge,1943,FALSE,democrat,549460,FALSE,,,0.356552345
2016,1177922,Kansas,Jerry Moran,1954,TRUE,republican,732376,TRUE,,,0.621752544
2016,1177922,Kansas,Patrick Wiesner,,FALSE,democrat,379740,FALSE,,,0.322381278
2016,1903465,Kentucky,Rand Paul,,,republican,1090177,TRUE,,,0.572732885
2016,1903465,Kentucky,Jim Gray,,,democrat,813246,FALSE,,,0.42724505
2016,1997218,Louisiana,John Kennedy,,,republican,536191,TRUE,,,0.26846894
2016,1997218,Louisiana,Foster Campbell,,,democrat,347816,FALSE,,,0.174150243
2016,2726170,Maryland,Chris Van Hollen,,,democrat,1659907,TRUE,,,0.608878757
2016,2726170,Maryland,Kathy Szeliga,,,republican,972557,FALSE,,,0.356748479
2016,2802641,Missouri,Roy Blunt,,,republican,1378458,TRUE,,,0.491842516
2016,2802641,Missouri,Jason Kander,,,democrat,1300200,FALSE,,,0.463919567
2016,1108294,Nevada,Catherine Cortez Masto,,,democrat,521994,TRUE,,,0.470988745
2016,1108294,Nevada,Joseph J. Heck,,,republican,495079,FALSE,,,0.446703672
2016,739140,New Hampshire,Maggie Hassan,,,democrat,354649,TRUE,,,0.479813026
2016,739140,New Hampshire,Kelly Ayotte,,,republican,353632,FALSE,,,0.478437103
2016,7800725,New York,Charles E. Schumer,,,democrat,4784220,TRUE,,,0.613304533
2016,7800725,New York,Wendy Long,,,republican,1723927,FALSE,,,0.220995741
2016,4691133,North Carolina,Richard Burr,,,republican,2395376,TRUE,,,0.510617797
2016,4691133,North Carolina,Deborah K. Ross,,,democrat,2128165,FALSE,,,0.453656931
2016,342501,North Dakota,John Hoeven,,,republican,268788,TRUE,,,0.78478019
2016,342501,North Dakota,Eliot Glassheim,,,democrat,58116,FALSE,,,0.169681256
2016,5374164,Ohio,Rob Portman,,,republican,3118567,TRUE,,,0.580288767
2016,5374164,Ohio,Ted Strickland,,,democrat,1996908,FALSE,,,0.37157556
2016,1448047,Oklahoma,James Lankford,,,republican,980892,TRUE,,,0.677389615
2016,1448047,Oklahoma,Mike Workman,,,democrat,355911,FALSE,,,0.245786912
2016,1952478,Oregon,Ron Wyden,,,democrat,1105119,TRUE,,,0.566008426
2016,1952478,Oregon,Mark Callahan,,,republican,651106,FALSE,,,0.333476741
2016,6051856,Pennsylvania,Patrick J. Toomey,,,republican,2951702,TRUE,,,0.487735002
2016,6051856,Pennsylvania,Katie McGinty,,,democrat,2865012,FALSE,,,0.473410471
2016,2049893,South Carolina,Tim Scott,,,republican,1241609,TRUE,,,0.605694541
2016,2049893,South Carolina,Thomas Dixon,,,democrat,704540,FALSE,,,0.343695988
2016,369656,South Dakota,John R. Thune,,,republican,265516,TRUE,,,0.718278616
2016,369656,South Dakota,Jay Williams,,,democrat,104140,FALSE,,,0.281721384
2016,1115583,Utah,Mike Lee,,,republican,760220,TRUE,,,0.681455347
2016,1115583,Utah,Misty K. Snow,,,democrat,301858,FALSE,,,0.270583184
2016,320467,Vermont,Patrick J. Leahy,,,democrat,192243,TRUE,,,0.599883919
2016,320467,Vermont,Scott Milne,,,republican,103637,FALSE,,,0.323393672
2016,3243317,Washington,Patty Murray,,,democrat,1913979,TRUE,,,0.590130104
2016,3243317,Washington,Chris Vance,,,republican,1329338,FALSE,,,0.409869896
2016,2948741,Wisconsin,Ron Johnson,,,republican,1479471,TRUE,,,0.501729721
2016,2948741,Wisconsin,uss Feingold,,,democrat,1380335,FALSE,,,0.468109949
2014,818090,Alabama,Jeff Sessions,,,republican,795606,TRUE,,,0.972516471
2014,282400,Alaska,Dan Sullivan,,,republican,135445,TRUE,,,0.479621105
2014,282400,Alaska,Mark Begich,,,democrat,129431,FALSE,,,0.458325071
2014,847505,Arkansas,Tom Cotton,,,republican,478819,TRUE,,,0.564974838
2014,847505,Arkansas,Mark L. Pryor,,,democrat,334174,FALSE,,,0.394303278
2014,2041058,Colorado,Cory Gardner,,,republican,983891,TRUE,,,0.482049506
2014,2041058,Colorado,Mark Udall,,,democrat,944203,FALSE,,,0.462604688
2014,234038,Delaware,Christopher A. Coons,,,democrat,130655,TRUE,,,0.558264043
2014,234038,Delaware,Kevin Wade,,,republican,98823,FALSE,,,0.422251942
2014,2567805,Georgia,David A. Perdue,,,republican,1358088,TRUE,,,0.528890628
2014,2567805,Georgia,M. Michelle Nunn,,,democrat,1160811,FALSE,,,0.452063533
2014,369703,Hawaii,Brian Schatz,,,democrat,246827,TRUE,,,0.667635913
2014,369703,Hawaii,Cam Cavasso,,,republican,98006,FALSE,,,0.265093873
2014,437170,Idaho,James E. Risch,,,republican,285596,TRUE,,,0.65328362
2014,437170,Idaho,Nels Mitchell,,,democrat,151574,FALSE,,,0.34671638
2014,3603519,Illinois,Richard J. Durbin,,,democrat,1929637,TRUE,,,0.535486839
2014,3603519,Illinois,"James D. ""Jim"" Oberweis",,,republican,1538522,FALSE,,,0.426949879
2014,1129700,Iowa,Joni Ernst,,,republican,588575,TRUE,,,0.521001151
2014,1129700,Iowa,Bruce Braley,,,democrat,494370,FALSE,,,0.437611755
2014,866191,Kansas,Pat Roberts,,,republican,460350,TRUE,,,0.531464769
2014,866191,Kansas,Greg Orman,,,independent,368372,FALSE,,,0.425278028
2014,1435868,Kentucky,Mich McConnell,,,republican,806787,TRUE,,,0.561881036
2014,1435868,Kentucky,Alison Lundergan Grimes,,,democrat,584698,FALSE,,,0.407208741
2014,3523183,Louisiana,Bill Cassidy,,,republican,1712379,TRUE,,,0.486031807
2014,3523183,Louisiana,Mary L. Landrieu,,,democrat,1561210,FALSE,,,0.443124867
2014,616996,Maine,Susan M. Collins,,,republican,413505,TRUE,,,0.670190731
2014,616996,Maine,Shenna Bellows,,,democrat,190254,FALSE,,,0.308355322
2014,2186789,Massachusetts,Edward J. Markey,,,democrat,1289944,TRUE,,,0.589880414
2014,2186789,Massachusetts,Brian J. Herr,,,republican,791950,FALSE,,,0.362151995
2014,3121771,Michigan,Gary C. Peters,,,democrat,1704936,TRUE,,,0.54614384
2014,3121771,Michigan,Terri Lynn Land,,,republican,1290199,FALSE,,,0.413290725
2014,1981528,Minnesota,Al Franken,,,democrat,1053205,TRUE,,,0.531511541
2014,1981528,Minnesota,Mike McFadden,,,republican,850227,FALSE,,,0.42907645
2014,631858,Mississippi,Thad Cochran,,,republican,378481,TRUE,,,0.598996927
2014,631858,Mississippi,Travis W. Childers,,,democrat,239439,FALSE,,,0.37894432
2014,369826,Montana,Steve Daines,,,republican,213709,TRUE,,,0.577863644
2014,369826,Montana,Amanda Curtis,,,democrat,148184,FALSE,,,0.400685728
