Election Year,Birth Year,Name,Winner,Incumbent,Party,Home state,Age,candidatevotes,% of the votes,totalvotes
2016,1934,Richard C. Shelby,TRUE,TRUE,republican,Alabama,,1335104,0.639587936,2087444
2016,1968,Ron Crumpton,FALSE,FALSE,democrat,Alabama,,748709,0.358672616,2087444
2016,1957,Lisa Murkowski,TRUE,TRUE,republican,Alaska,,138149,0.443580004,311441
2016,1967,Joe Miller,FALSE,FALSE,libertarian,Alaska,,90825,0.29162827,311441
2016,1936,John McCain,TRUE,TRUE,republican,Arizona,,1359267,0.537104709,2530730
2016,1950,Ann Kirkpatrick,FALSE,FALSE,democrat,Arizona,,1031245,0.407489143,2530730
2016,1950,John Boozman,TRUE,TRUE,republican,Arkansas,,661984,0.597716343,1107522
2016,1977,Conner Eldridge,FALSE,FALSE,democrat,Arkansas,,400602,0.361710196,1107522
2016,1964,Kamala D. Harris,TRUE,NA,democrat,California,,7542753,0.616028118,12244170
2016,1960,Loretta Sanchez,FALSE,NA,democrat,California,,4701417,0.383971882,12244170
2016,1964,Michael F. Bennet,TRUE,TRUE,democrat,Colorado,,1370710,0.499707804,2743023
2016,1965,Darryl Glenn,FALSE,FALSE,republican,Colorado,,1215318,0.443057896,2743023
2016,1946,Richard Blumenthal,TRUE,TRUE,democrat,Connecticut,,"1,008,714",0.631917037,1596276
2016,1967,Dan Carter,FALSE,FALSE,republican,Connecticut,,552621,0.346193891,1596276
2016,1971,Marco Rubio,TRUE,TRUE,republican,Florida,,4835191,0.519811284,9301820
2016,1983,Patrick Murphy,FALSE,FALSE,democrat,Florida,,4122088,0.443148545,9301820
2016,1944,Johnny Isakson,TRUE,TRUE,republican,Georgia,,2135806,0.547838522,3898605
2016,1953,Jim Barksdale,FALSE,FALSE,democrat,Georgia,,1599726,0.410332927,3898605
2016,1972,Brian Schatz,TRUE,TRUE,democrat,Hawaii,,306604,0.700546538,437664
2016,1929,John Carroll,FALSE,FALSE,republican,Hawaii,,92653,0.211698929,437664
2016,1951,Mike Crapo,TRUE,TRUE,republican,Idaho,,449017,0.661347123,678943
2016,,Jerry Sturgill,FALSE,FALSE,democrat,Idaho,,188249,0.277267753,678943
2016,1968,Tammy Duckworth,TRUE,FALSE,democrat,Illinois,,3012940,0.548617431,5491878
2016,1959,Mark Kirk,FALSE,TRUE,republican,Illinois,,2184692,0.397804176,5491878
2016,1972,Todd C. Young,TRUE,NA,republican,Indiana,,1423991,0.521122426,2732546
2016,1955,Evan Bayh,FALSE,NA,democrat,Indiana,,1158947,0.424127169,2732546
2016,1933,Chuck Grassley,TRUE,TRUE,republican,Iowa,,926007,0.600899006,1541036
2016,1943,Patty Judge,FALSE,FALSE,democrat,Iowa,,549460,0.356552345,1541036
2016,1954,Jerry Moran,TRUE,TRUE,republican,Kansas,,732376,0.621752544,1177922
2016,,Patrick Wiesner,FALSE,FALSE,democrat,Kansas,,379740,0.322381278,1177922
2016,1963,Rand Paul,TRUE,TRUE,republican,Kentucky,,1090177,0.572732885,1903465
2016,1953,Jim Gray,FALSE,FALSE,democrat,Kentucky,,813246,0.42724505,1903465
2016,1951,John Kennedy,TRUE,NA,republican,Louisiana,,536191,0.26846894,1997218
2016,1947,Foster Campbell,FALSE,NA,democrat,Louisiana,,347816,0.174150243,1997218
2016,1959,Chris Van Hollen,TRUE,NA,democrat,Maryland,,1659907,0.608878757,2726170
2016,1961,Kathy Szeliga,FALSE,NA,republican,Maryland,,972557,0.356748479,2726170
2016,1950,Roy Blunt,TRUE,TRUE,republican,Missouri,,1378458,0.491842516,2802641
2016,1981,Jason Kander,FALSE,FALSE,democrat,Missouri,,1300200,0.463919567,2802641
2016,1964,Catherine Cortez Masto,TRUE,NA,democrat,Nevada,,521994,0.470988745,1108294
2016,1961,Joseph J. Heck,FALSE,NA,republican,Nevada,,495079,0.446703672,1108294
