Election Year,Birth Year,Name,Winner,Incumbent,Party,Home state,Age,KEY_1,KEY_2
1916,1856,Woodrow Wilson,TRUE,TRUE,1,33,60,1,Democratic
1916,1862,Charles Evans Hughes,FALSE,FALSE,2,35,54,2,Republican
1920,1865,Warren Harding,TRUE,NA,2,38,55,3,Third Party
1920,1870,James Cox,FALSE,NA,1,38,50,4,Alabama
1924,1872,Calvin Coolidge,TRUE,TRUE,2,24,52,5,Alaska
1924,1873,John Davis,FALSE,FALSE,1,51,51,6,Arizona
1928,1874,Herbert Hoover,TRUE,NA,2,8,54,7,Arkansas
1928,1873,Al Smith,FALSE,NA,1,35,55,8,California
1932,1882,Franklin Roosevelt,TRUE,FALSE,1,35,50,9,Colorado
1932,1874,Herbert Hoover,FALSE,TRUE,2,18,58,10,Connecticut
1936,1882,Franklin Roosevelt,TRUE,TRUE,1,35,54,11,Delaware
1936,1887,Alf Landon,FALSE,FALSE,2,19,49,12,Florida
1940,1882,Franklin Roosevelt,TRUE,TRUE,1,35,58,13,Georgia
1940,1892,Wendell Willkie,FALSE,FALSE,2,35,48,14,Hawaii
1944,1882,Franklin Roosevelt,TRUE,TRUE,1,35,62,15,Idaho
1944,1902,Thomas Dewey,FALSE,FALSE,2,35,42,16,Illinois
1948,1884,Harry Truman,TRUE,NA,1,28,64,17,Indiana
1948,1902,Thomas Dewey,FALSE,NA,2,35,46,18,Iowa
1952,1890,Dwight Eisenhower,TRUE,NA,2,35,62,19,Kansas
1952,1900,Adlai Stevenson,FALSE,NA,1,16,52,20,Kentucky
1956,1890,Dwight Eisenhower,TRUE,TRUE,2,19,66,21,Louisiana
1956,1900,Adlai Stevenson,FALSE,FALSE,1,16,56,22,Maine
1960,1917,John F Kennedy,TRUE,NA,1,24,43,23,Maryland
1960,1913,Richard Nixon,FALSE,NA,2,8,47,24,Massachusetts
1964,1908,Lyndon B Johnson,TRUE,TRUE,1,46,56,25,Michigan
1964,1909,Barry Goldwater,FALSE,FALSE,2,6,55,26,Minnesota
1968,1913,Richard Nixon,TRUE,NA,2,8,55,27,Mississippi
1968,1911,Hubert Humphrey,FALSE,NA,1,26,57,28,Missouri
1972,1913,Richard Nixon,TRUE,TRUE,2,8,59,29,Montana
1972,1922,George McGovern,FALSE,FALSE,1,44,50,30,Nebraska
1976,1924,Jimmy Carter,TRUE,FALSE,1,13,52,31,Nevada
1976,1913,Gerald Ford,FALSE,TRUE,2,25,63,32,New Hampshire
1980,1911,Ronald Reagan,TRUE,FALSE,2,8,69,33,New Jersey
1980,1924,Jimmy Carter,FALSE,TRUE,1,13,56,34,New Mexico
1984,1911,Ronald Reagan,TRUE,TRUE,2,8,73,35,New York
1984,1928,Walter Mondale,FALSE,FALSE,1,26,56,36,North Carolina
1988,1924,George H W Bush,TRUE,NA,2,46,64,37,North Dakota
1988,1933,Michael Dukakis,FALSE,NA,1,24,55,38,Ohio
1992,1946,Bill Clinton,TRUE,FALSE,1,7,46,39,Oklahoma
1992,1924,George H W Bush,FALSE,TRUE,2,46,68,40,Oregon
1996,1946,Bill Clinton,TRUE,TRUE,1,7,50,41,Pennsylvania
1996,1923,Bob Dole,FALSE,FALSE,2,19,73,42,Rhode Island
2000,1946,George W Bush,TRUE,NA,2,46,54,43,South Carolina
2000,1948,Al Gore,FALSE,NA,1,45,52,44,South Dakota
